item_id:token,name:token,url:token,picture_url:token,interaction_count,pop_score,popularity_label
146,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png,747,0.012408637873754153,1
174,Christina Aguilera,http://www.last.fm/music/Christina+Aguilera,http://userserve-ak.last.fm/serve/252/47363849.png,596,0.00990033222591362,1
75,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png,565,0.009385382059800664,1
125,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg,536,0.008903654485049834,1
15,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg,519,0.008621262458471762,1
268,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg,447,0.007425249169435216,1
86,Rihanna,http://www.last.fm/music/Rihanna,http://userserve-ak.last.fm/serve/252/53023109.png,409,0.006794019933554817,1
39,Muse,http://www.last.fm/music/Muse,http://userserve-ak.last.fm/serve/252/416514.jpg,408,0.006777408637873754,1
19,Radiohead,http://www.last.fm/music/Radiohead,http://userserve-ak.last.fm/serve/252/8461967.jpg,387,0.0064285714285714285,1
104,Paramore,http://www.last.fm/music/Paramore,http://userserve-ak.last.fm/serve/252/35837991.png,383,0.006362126245847176,1
21,Michael Jackson,http://www.last.fm/music/Michael+Jackson,http://userserve-ak.last.fm/serve/252/30501527.png,330,0.005481727574750831,1
88,Avril Lavigne,http://www.last.fm/music/Avril+Lavigne,http://userserve-ak.last.fm/serve/252/59708309.png,322,0.005348837209302326,1
87,Katy Perry,http://www.last.fm/music/Katy+Perry,http://userserve-ak.last.fm/serve/252/42128121.png,303,0.005033222591362126,1
263,Coldplay,http://www.last.fm/music/Coldplay,http://userserve-ak.last.fm/serve/252/67770.jpg,292,0.004850498338870432,1
124,Kylie Minogue,http://www.last.fm/music/Kylie+Minogue,http://userserve-ak.last.fm/serve/252/12740835.jpg,278,0.004617940199335548,1
89,Taylor Swift,http://www.last.fm/music/Taylor+Swift,http://userserve-ak.last.fm/serve/252/45447333.png,258,0.004285714285714286,1
11,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg,248,0.004119601328903655,1
337,BjÃ¶rk,http://www.last.fm/music/Bj%C3%B6rk,http://userserve-ak.last.fm/serve/252/41268145.png,244,0.004053156146179402,1
176,BeyoncÃ©,http://www.last.fm/music/Beyonc%C3%A9,http://userserve-ak.last.fm/serve/252/61958009.png,239,0.003970099667774086,1
23,Pink Floyd,http://www.last.fm/music/Pink+Floyd,http://userserve-ak.last.fm/serve/252/39219129.jpg,234,0.003887043189368771,1
269,The Killers,http://www.last.fm/music/The+Killers,http://userserve-ak.last.fm/serve/252/250099.jpg,231,0.0038372093023255815,1
290,Miley Cyrus,http://www.last.fm/music/Miley+Cyrus,http://userserve-ak.last.fm/serve/252/58452885.png,230,0.0038205980066445184,1
284,Shakira,http://www.last.fm/music/Shakira,http://userserve-ak.last.fm/serve/252/52116105.png,228,0.003787375415282392,1
324,Metallica,http://www.last.fm/music/Metallica,http://userserve-ak.last.fm/serve/252/7560709.jpg,226,0.003754152823920266,1
28,Placebo,http://www.last.fm/music/Placebo,http://userserve-ak.last.fm/serve/252/300983.jpg,223,0.003704318936877076,1
286,Mariah Carey,http://www.last.fm/music/Mariah+Carey,http://userserve-ak.last.fm/serve/252/4230813.jpg,215,0.0035714285714285713,1
47,Kelly Clarkson,http://www.last.fm/music/Kelly+Clarkson,http://userserve-ak.last.fm/serve/252/28236733.png,211,0.003504983388704319,1
328,Led Zeppelin,http://www.last.fm/music/Led+Zeppelin,http://userserve-ak.last.fm/serve/252/279035.jpg,199,0.0033056478405315616,1
163,David Bowie,http://www.last.fm/music/David+Bowie,http://userserve-ak.last.fm/serve/252/13533737.jpg,192,0.0031893687707641198,1
90,Evanescence,http://www.last.fm/music/Evanescence,http://userserve-ak.last.fm/serve/252/8403975.jpg,192,0.0031893687707641198,1
267,Arctic Monkeys,http://www.last.fm/music/Arctic+Monkeys,http://userserve-ak.last.fm/serve/252/33550647.jpg,191,0.0031727574750830567,1
162,The Cure,http://www.last.fm/music/The+Cure,http://userserve-ak.last.fm/serve/252/9151219.jpg,188,0.003122923588039867,1
77,Nirvana,http://www.last.fm/music/Nirvana,http://userserve-ak.last.fm/serve/252/380269.jpg,178,0.002956810631229236,1
93,30 Seconds to Mars,http://www.last.fm/music/30+Seconds+to+Mars,http://userserve-ak.last.fm/serve/252/47014513.png,175,0.0029069767441860465,1
209,Pet Shop Boys,http://www.last.fm/music/Pet+Shop+Boys,http://userserve-ak.last.fm/serve/252/28023467.png,174,0.0028903654485049834,1
186,Iron Maiden,http://www.last.fm/music/Iron+Maiden,http://userserve-ak.last.fm/serve/252/22493569.jpg,170,0.002823920265780731,1
271,Eminem,http://www.last.fm/music/Eminem,http://userserve-ak.last.fm/serve/252/29959269.jpg,169,0.002807308970099668,1
92,Ke$ha,http://www.last.fm/music/Ke%24ha,http://userserve-ak.last.fm/serve/252/47829587.png,169,0.002807308970099668,1
316,MGMT,http://www.last.fm/music/MGMT,http://userserve-ak.last.fm/serve/252/18032577.jpg,161,0.002674418604651163,1
38,Keane,http://www.last.fm/music/Keane,http://userserve-ak.last.fm/serve/252/8891209.jpg,160,0.0026578073089701,1
56,Linkin Park,http://www.last.fm/music/Linkin+Park,http://userserve-ak.last.fm/serve/252/50034821.png,159,0.0026411960132890367,1
71,Sigur RÃ³s,http://www.last.fm/music/Sigur+R%C3%B3s,http://userserve-ak.last.fm/serve/252/43524777.png,158,0.0026245847176079736,1
321,Oasis,http://www.last.fm/music/Oasis,http://userserve-ak.last.fm/serve/252/44937531.jpg,157,0.0026079734219269105,0
513,Red Hot Chili Peppers,http://www.last.fm/music/Red+Hot+Chili+Peppers,http://userserve-ak.last.fm/serve/252/155038.jpg,157,0.0026079734219269105,0
289,Hilary Duff,http://www.last.fm/music/Hilary+Duff,http://userserve-ak.last.fm/serve/252/8182513.jpg,151,0.0025083056478405314,0
114,U2,http://www.last.fm/music/U2,http://userserve-ak.last.fm/serve/252/4404698.jpg,150,0.0024916943521594683,0
270,Black Eyed Peas,http://www.last.fm/music/Black+Eyed+Peas,http://userserve-ak.last.fm/serve/252/53698409.png,144,0.0023920265780730896,0
228,Joy Division,http://www.last.fm/music/Joy+Division,http://userserve-ak.last.fm/serve/252/4227094.jpg,139,0.002308970099667774,0
45,Nine Inch Nails,http://www.last.fm/music/Nine+Inch+Nails,http://userserve-ak.last.fm/serve/252/29014025.jpg,138,0.002292358803986711,0
394,Queen,http://www.last.fm/music/Queen,http://userserve-ak.last.fm/serve/252/45625545.png,137,0.002275747508305648,0
177,Ashley Tisdale,http://www.last.fm/music/Ashley+Tisdale,http://userserve-ak.last.fm/serve/252/62194153.png,132,0.0021926910299003323,0
297,Amy Winehouse,http://www.last.fm/music/Amy+Winehouse,http://userserve-ak.last.fm/serve/252/366300.jpg,131,0.002176079734219269,0
126,Lily Allen,http://www.last.fm/music/Lily+Allen,http://userserve-ak.last.fm/serve/252/21181805.png,128,0.00212624584717608,0
497,Kings of Leon,http://www.last.fm/music/Kings+of+Leon,http://userserve-ak.last.fm/serve/252/2739814.jpg,127,0.0021096345514950167,0
306,ABBA,http://www.last.fm/music/ABBA,http://userserve-ak.last.fm/serve/252/10441471.jpg,127,0.0021096345514950167,0
338,Elvis Presley,http://www.last.fm/music/Elvis+Presley,http://userserve-ak.last.fm/serve/252/2352968.jpg,125,0.0020764119601328905,0
652,The Smiths,http://www.last.fm/music/The+Smiths,http://userserve-ak.last.fm/serve/252/49596745.png,124,0.0020598006644518274,0
372,a-ha,http://www.last.fm/music/a-ha,http://userserve-ak.last.fm/serve/252/44717589.png,116,0.0019269102990033223,0
294,Demi Lovato,http://www.last.fm/music/Demi+Lovato,http://userserve-ak.last.fm/serve/252/41305109.png,116,0.0019269102990033223,0
