user_id:token,item_id:token,weight:float,timestamp:float
1,1,13,1238536800000
1,1,15,1238536800000
1,1,18,1238536800000
1,1,21,1238536800000
1,1,41,1238536800000
1,2,13,1238536800000
1,2,14,1238536800000
1,2,23,1238536800000
1,2,40,1238536800000
1,3,13,1238536800000
1,3,14,1238536800000
1,3,15,1238536800000
1,3,18,1238536800000
1,3,20,1238536800000
1,3,21,1238536800000
1,3,22,1238536800000
1,3,26,1238536800000
1,4,13,1238536800000
1,4,15,1238536800000
1,4,20,1238536800000
1,4,21,1238536800000
1,4,22,1238536800000
1,4,36,1238536800000
1,4,37,1238536800000
1,4,39,1238536800000
1,5,19,1238536800000
1,5,24,1238536800000
2,6,14,1264978800000
2,6,15,1235862000000
2,6,33,1233442800000
2,6,44,1246399200000
2,6,45,1246399200000
2,6,46,1235862000000
2,6,47,1264978800000
2,6,48,1249077600000
2,6,49,1235862000000
2,6,50,1246399200000
2,6,51,1249077600000
2,6,52,1285884000000
2,6,53,1272664800000
2,6,54,1251756000000
2,6,55,1246399200000
2,6,56,1246399200000
2,6,57,1267398000000
2,6,58,1257030000000
2,6,63,1288566000000
2,6,64,1280613600000
2,6,65,1267398000000
2,6,68,1254348000000
2,6,71,1264978800000
2,7,14,1251756000000
2,7,15,1280613600000
2,7,18,1251756000000
2,7,33,1251756000000
2,7,44,1280613600000
2,7,45,1280613600000
2,7,46,1280613600000
2,7,69,1251756000000
2,8,14,1288566000000
2,8,33,1288566000000
2,8,34,1288566000000
2,8,44,1288566000000
2,8,52,1288566000000
2,9,15,1233442800000
2,9,33,1233442800000
2,9,46,1233442800000
2,9,47,1254348000000
2,9,49,1233442800000
2,9,55,1233442800000
2,10,44,1254348000000
3,11,16,1196463600000
3,11,25,1172703600000
3,12,18,1191189600000
3,13,13,1180648800000
3,13,18,1259622000000
3,14,18,1191189600000
3,15,18,1180648800000
3,16,14,1180648800000
3,17,75,1172703600000
3,18,74,1196463600000
3,19,79,1191189600000
3,20,79,1180648800000
3,21,24,1191189600000
3,22,77,1188597600000
3,23,75,1183240800000
3,24,18,1191189600000
3,25,80,1177970400000
3,26,78,1175378400000
3,27,73,1193871600000
3,28,78,1180648800000
3,29,88,1180648800000
3,30,14,1180648800000
3,31,24,1196463600000
3,31,72,1196463600000
3,32,82,1172703600000
3,33,85,1175378400000
3,34,24,1191189600000
3,35,76,1180648800000
3,36,24,1191189600000
3,37,25,1177970400000
4,12,95,1207000800000
4,19,94,1207000800000
4,38,95,1207000800000
4,38,99,1207000800000
4,39,95,1207000800000
4,40,95,1207000800000
4,41,95,1283292000000
4,42,95,1207000800000
4,43,95,1207000800000
4,44,94,1207000800000
4,45,94,1207000800000
5,46,100,1293836400000
5,46,101,1293836400000
5,46,112,1293836400000
5,46,113,1293836400000
5,46,114,1293836400000
6,47,24,1162335600000
6,47,130,1162335600000
6,48,30,1162335600000
6,48,130,1162335600000
6,48,134,1162335600000
6,48,135,1162335600000
6,48,136,1162335600000
6,49,30,1162335600000
6,49,73,1162335600000
7,50,73,1212271200000
7,50,138,1212271200000
7,50,139,1212271200000
7,50,141,1212271200000
7,51,138,1193871600000
7,52,137,1209592800000
7,53,146,1285884000000
7,53,155,1285884000000
7,53,156,1285884000000
7,53,157,1285884000000
7,53,158,1285884000000
7,54,137,1209592800000
7,55,140,1193871600000
7,56,73,1193871600000
7,56,137,1209592800000
7,57,137,1209592800000
7,57,140,1193871600000
7,58,144,1193871600000
7,59,139,1193871600000
7,60,137,1209592800000
7,60,140,1193871600000
7,61,139,1193871600000
7,62,137,1209592800000
7,62,139,1193871600000
7,62,141,1193871600000
7,63,73,1193871600000
7,64,137,1209592800000
7,65,71,1291158000000
7,65,145,1291158000000
7,65,147,1291158000000
7,65,148,1291158000000
7,65,149,1291158000000
8,66,81,1222812000000
8,66,165,1222812000000
8,67,81,1209592800000
8,67,165,1209592800000
8,68,81,1201820400000
8,69,78,1185919200000
8,69,79,1185919200000
8,69,81,1185919200000
8,69,166,1172703600000
8,70,79,1201820400000
8,70,81,1201820400000
8,70,165,1201820400000
8,71,165,1220220000000
8,72,79,1185919200000
8,73,81,1201820400000
8,73,165,1201820400000
8,74,165,1207000800000
9,75,24,1243807200000
9,76,171,1243807200000
9,77,170,1243807200000
9,78,172,1225494000000
9,79,24,1243807200000
9,79,167,1241128800000
9,80,167,1249077600000
9,81,167,1262300400000
9,82,109,1243807200000
9,83,168,1249077600000
10,15,18,1264978800000
10,84,78,1264978800000
10,84,79,1264978800000
10,85,73,1280613600000
10,85,78,1280613600000
10,85,79,1280613600000
10,85,109,1280613600000
10,76,169,1264978800000
10,76,181,1264978800000
10,76,182,1264978800000
10,86,24,1264978800000
10,86,39,1264978800000
10,86,167,1264978800000
10,87,24,1280613600000
10,87,109,1291158000000
10,88,24,1293836400000
10,88,73,1291158000000
10,88,109,1291158000000
10,89,24,1264978800000
10,89,134,1264978800000
10,89,185,1264978800000
10,89,193,1264978800000
10,56,78,1264978800000
10,56,79,1264978800000
10,56,177,1264978800000
10,90,79,1267398000000
10,90,190,1264978800000
10,64,78,1264978800000
10,64,79,1264978800000
10,91,184,1264978800000
10,92,18,1264978800000
10,92,24,1264978800000
10,92,39,1264978800000
10,93,78,1264978800000
10,93,79,1264978800000
10,93,81,1272664800000
10,93,176,1264978800000
10,94,61,1264978800000
10,94,179,1264978800000
10,95,78,1264978800000
10,95,79,1264978800000
10,96,79,1264978800000
10,96,177,1264978800000
10,96,198,1264978800000
10,97,72,1264978800000
10,97,78,1264978800000
10,97,79,1264978800000
10,97,170,1264978800000
10,98,102,1264978800000
10,98,103,1264978800000
10,99,176,1264978800000
10,99,178,1264978800000
10,99,180,1298934000000
10,99,186,1264978800000
10,100,78,1264978800000
10,100,79,1264978800000
10,100,176,1264978800000
10,101,79,1264978800000
10,101,176,1264978800000
10,101,178,1264978800000
10,102,72,1264978800000
10,102,78,1264978800000
10,102,79,1264978800000
10,103,78,1264978800000
10,103,79,1264978800000
10,103,177,1264978800000
10,104,79,1264978800000
10,104,169,1264978800000
10,105,78,1264978800000
10,105,79,1264978800000
10,106,1,1264978800000
10,106,176,1264978800000
10,106,186,1264978800000
10,107,78,1264978800000
10,107,79,1264978800000
10,108,1,1267398000000
10,108,5,1267398000000
10,109,73,1280613600000
10,110,82,1264978800000
10,111,176,1264978800000
10,111,178,1264978800000
10,111,186,1264978800000
10,112,6,1264978800000
10,112,18,1264978800000
10,112,61,1264978800000
10,112,189,1264978800000
10,113,73,1264978800000
10,113,78,1264978800000
10,113,79,1264978800000
10,113,177,1264978800000
10,113,198,1264978800000
10,114,24,1264978800000
10,114,73,1264978800000
10,114,192,1264978800000
10,115,1,1264978800000
10,115,78,1264978800000
10,115,79,1264978800000
10,115,177,1264978800000
10,116,1,1264978800000
10,116,177,1264978800000
10,117,18,1264978800000
10,117,179,1264978800000
10,117,190,1264978800000
10,118,18,1264978800000
10,118,61,1264978800000
10,118,189,1264978800000
10,119,1,1277935200000
10,119,73,1277935200000
10,119,79,1277935200000
10,119,177,1277935200000
10,120,7,1264978800000
10,120,89,1264978800000
10,120,179,1264978800000
10,121,1,1264978800000
10,121,6,1264978800000
10,121,61,1264978800000
10,121,177,1264978800000
10,122,73,1275343200000
10,122,79,1275343200000
10,122,182,1275343200000
10,122,188,1275343200000
10,122,196,1275343200000
10,123,7,1264978800000
10,123,30,1264978800000
10,123,89,1264978800000
10,123,179,1264978800000
11,124,18,1246399200000
11,124,24,1246399200000
11,124,39,1246399200000
11,124,124,1246399200000
11,124,130,1246399200000
11,124,200,1246399200000
11,124,201,1246399200000
11,124,202,1246399200000
11,124,203,1246399200000
11,124,204,1246399200000
11,124,205,1246399200000
11,124,208,1246399200000
11,125,18,1246399200000
11,125,24,1246399200000
11,125,39,1246399200000
11,125,124,1246399200000
11,125,130,1246399200000
11,125,199,1251756000000
11,125,200,1246399200000
11,125,201,1246399200000
11,125,202,1246399200000
11,125,203,1246399200000
11,125,204,1246399200000
11,125,205,1246399200000
11,125,209,1251756000000
11,75,18,1246399200000
11,75,24,1246399200000
11,75,39,1246399200000
11,75,49,1257030000000
11,75,124,1246399200000
11,75,130,1246399200000
11,75,134,1246399200000
11,75,167,1246399200000
11,75,199,1246399200000
11,75,200,1246399200000
11,75,201,1246399200000
11,75,202,1246399200000
11,75,203,1246399200000
11,75,204,1246399200000
11,75,205,1246399200000
11,75,206,1254348000000
11,75,207,1254348000000
11,75,208,1246399200000
11,75,209,1251756000000
11,75,213,1259622000000
11,75,214,1259622000000
11,75,215,1259622000000
11,75,228,1257030000000
11,75,229,1257030000000
11,75,230,1257030000000
11,75,231,1257030000000
11,75,232,1254348000000
11,75,233,1254348000000
11,75,234,1254348000000
11,75,235,1257030000000
11,126,24,1251756000000
11,126,130,1251756000000
11,126,199,1251756000000
11,126,206,1251756000000
11,126,210,1251756000000
11,88,24,1246399200000
11,88,130,1246399200000
11,88,200,1246399200000
11,88,201,1246399200000
12,127,245,1217541600000
12,127,247,1217541600000
12,127,250,1217541600000
12,127,266,1217541600000
12,127,271,1217541600000
12,128,16,1217541600000
12,128,25,1217541600000
12,128,245,1217541600000
12,128,248,1217541600000
12,128,249,1217541600000
12,128,263,1217541600000
12,128,267,1217541600000
12,129,16,1217541600000
12,129,25,1304596191912
12,129,242,1304596226144
12,129,245,1304596223989
12,129,248,1304596214214
12,129,249,1304596215240
12,129,263,1304596187726
12,129,266,1217541600000
12,129,267,1304596194417
12,129,268,1304596197640
12,129,272,1304596177553
12,129,274,1304596176284
12,130,75,1217541600000
12,130,245,1217541600000
12,130,248,1217541600000
12,130,249,1217541600000
12,130,263,1217541600000
12,130,267,1217541600000
12,131,75,1217541600000
12,131,245,1217541600000
12,131,248,1217541600000
12,131,249,1217541600000
12,131,253,1217541600000
12,131,259,1217541600000
12,132,75,1217541600000
12,132,182,1217541600000
12,132,242,1217541600000
12,132,245,1217541600000
12,132,248,1217541600000
12,132,249,1217541600000
12,132,267,1217541600000
